home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Tunisia,France,1.0,0.5,,0.0,0.8,,Jalel Kadri,Wahbi Khazri,Didier Deschamps,Raphaël Varane,Wahbi Khazri · 58,,43627,"Education City Stadium, Doha",Matt Conger (Referee) · Mark Rule (AR1) · Tevita Makasini (AR2) · Salima Mukansanga (4th) · Abdulla Ali Al Marri (VAR),2022-11-30,1–0,Matt Conger,,Group stage,Qatar,2022
Australia,Denmark,1.0,0.6,,0.0,0.6,,Graham Arnold,Mathew Ryan,Kasper Hjulmand,Christian Eriksen,Mathew Leckie · 60,,41232,"Al Janoub Stadium, Al Wakrah",Mustapha Ghorbal (Referee) · Mokrane Gourari (AR1) · Abdelhak Etchiali (AR2) · Maguette Ndiaye (4th) · Mauro Vigliano (VAR),2022-11-30,1–0,Mustapha Ghorbal,,Group stage,Qatar,2022
Canada,Morocco,1.0,1.4,,2.0,0.5,,John Herdman,Milan Borjan,Hoalid Regragui,Romain Saïss,Nayef Aguerd (OG) · 40,Hakim Ziyech · 4|Youssef En-Nesyri · 23,43102,"Al Thumama Stadium, ath-Thumāma",Raphael Claus (Referee) · Rodrigo Correa (AR1) · Danilo Manis (AR2) · Yoshimi Yamashita (4th) · Julio Bascuñán (VAR),2022-12-01,1–2,Raphael Claus,,Group stage,Qatar,2022
Croatia,Belgium,0.0,0.7,,0.0,3.0,,Zlatko Dalić,Luka Modrić,Roberto Martínez,Kevin De Bruyne,,,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Anthony Taylor (Referee) · Gary Beswick (AR1) · Adam Nunn (AR2) · István Kovács (4th) · Marco Fritz (VAR),2022-12-01,0–0,Anthony Taylor,,Group stage,Qatar,2022
Costa Rica,Germany,2.0,1.1,,4.0,5.7,,Luis Fernando Suárez,Keylor Navas,Hansi Flick,Manuel Neuer,Yeltsin Tejeda · 58|Manuel Neuer (OG) · 70,Serge Gnabry · 10|Kai Havertz · 73|Kai Havertz · 85|Niclas Füllkrug · 90,67054,"Al Bayt Stadium, Al Khor",Stéphanie Frappart (Referee) · Neuza Back (AR1) · Karen Díaz (AR2) · Said Martínez (4th) · Drew Fischer (VAR),2022-12-01,2–4,Stéphanie Frappart,,Group stage,Qatar,2022
Japan,Spain,2.0,1.4,,1.0,1.0,,Hajime Moriyasu,Maya Yoshida,Luis Enrique,Sergio Busquets,Ritsu Doan · 48|Ao Tanaka · 51,Álvaro Morata · 12,44851,"Khalifa International Stadium, Doha",Victor Gomes (Referee) · Zakhele Siwela (AR1) · Souru Phatsoane (AR2) · Salima Mukansanga (4th) · Fernando Guerrero (VAR),2022-12-01,2–1,Victor Gomes,,Group stage,Qatar,2022
Cameroon,Brazil,1.0,0.5,,0.0,2.5,,Rigobert Song,Vincent Aboubakar,Tite,Dani Alves,Vincent Aboubakar · 90+2|Vincent Aboubakar · 90+3,,85986,"Lusail Iconic Stadium, Lusail",Ismail Elfath (Referee) · Kyle Atkins (AR1) · Corey Parker (AR2) · Ma Ning (4th) · Alejandro Hernández (VAR),2022-12-02,1–0,Ismail Elfath,,Group stage,Qatar,2022
Serbia,Switzerland,2.0,1.3,,3.0,2.7,,Dragan Stojković,Dušan Tadić,Murat Yakin,Granit Xhaka,Aleksandar Mitrović · 26|Dušan Vlahović · 35,Xherdan Shaqiri · 20|Breel Embolo · 44|Remo Freuler · 48,41378,"Stadium 974, Doha",Fernando Rapallini (Referee) · Juan Pablo Belatti (AR1) · Diego Bonfá (AR2) · Kevin Ortega (4th) · Mauro Vigliano (VAR),2022-12-02,2–3,Fernando Rapallini,,Group stage,Qatar,2022
Ghana,Uruguay,0.0,1.6,,2.0,1.8,,Otto Addo,André Ayew,Diego Alonso,Luis Suárez,,Giorgian De Arrascaeta · 26|Giorgian De Arrascaeta · 32,43443,"Al Janoub Stadium, Al Wakrah",Daniel Siebert (Referee) · Jan Seidel (AR1) · Rafael Foltyn (AR2) · Yoshimi Yamashita (4th) · Bastian Dankert (VAR),2022-12-02,0–2,Daniel Siebert,,Group stage,Qatar,2022
Korea Republic,Portugal,2.0,1.7,,1.0,1.3,,Sérgio Costa,Son Heung-min,Fernando Santos,Cristiano Ronaldo,Kim Young-gwon · 27|Hwang Hee-chan · 90+1,Ricardo Horta · 5,0,"Education City Stadium, Doha",Facundo Tello (Referee) · Ezequiel Brailovsky (AR1) · Gabriel Chade (AR2) · Maguette Ndiaye (4th) · Nicolás Gallo (VAR),2022-12-02,2–1,Facundo Tello,,Group stage,Qatar,2022
Argentina,Australia,,,,,,,,,,,,,0,,,2022-12-03,,,,Round of 16,Qatar,2022
Netherlands,United States,,,,,,,,,,,,,0,,,2022-12-03,,,,Round of 16,Qatar,2022
England,Senegal,,,,,,,,,,,,,0,,,2022-12-04,,,,Round of 16,Qatar,2022
France,Poland,,,,,,,,,,,,,0,,,2022-12-04,,,,Round of 16,Qatar,2022
Brazil,Korea Republic,,,,,,,,,,,,,0,,,2022-12-05,,,,Round of 16,Qatar,2022
Japan,Croatia,,,,,,,,,,,,,0,,,2022-12-05,,,,Round of 16,Qatar,2022
Portugal,Switzerland,,,,,,,,,,,,,0,,,2022-12-06,,,,Round of 16,Qatar,2022
Morocco,Spain,,,,,,,,,,,,,0,,,2022-12-06,,,,Round of 16,Qatar,2022
